rank,Artist,Title,Image URL,Release Date,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,duration_sec,time_signature,Preview URL
1,YOASOBI,アイドル,https://i.scdn.co/image/ab67616d0000b273b7d6ca50bf766ad72226290c,2023-04-12,84,0.574,0.935,1,-2.783,1,0.0926,0.112,1.07E-06,0.367,0.836,166.008,213234,213.234,4,https://p.scdn.co/mp3-preview/3cf6efcc13a380485fa20fda1602b8ad4e3f0b0c?cid=133ab60d36dd449d94af25689ddde7ed
2,OFFICIAL HIGE DANDISM,Subtitle,https://i.scdn.co/image/ab67616d0000b273d69b54199b7773b97a57a196,2022-10-12,76,0.649,0.683,6,-6.49,1,0.0424,0.0313,0.00E+00,0.118,0.381,130,305509,305.509,4,https://p.scdn.co/mp3-preview/cff6c39aef4b49848e7f59c689469c8db0f00997?cid=133ab60d36dd449d94af25689ddde7ed
3,Jung Kook,Seven,https://i.scdn.co/image/ab67616d0000b273bf5cce5a0e1ed03a626bdd74,2023-07-14,97,0.802,0.832,11,-4.107,1,0.0434,0.311,0.00E+00,0.0815,0.89,124.997,185427,185.427,4,https://p.scdn.co/mp3-preview/2f2b3f4eaf405ac3ba9792456cec93ae88942cfc?cid=133ab60d36dd449d94af25689ddde7ed
4,BTS,Butter,https://i.scdn.co/image/ab67616d0000b273240447f2da1433d8f4303596,2021-06-04,73,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.00E+00,0.0906,0.695,109.997,164442,164.442,4,https://p.scdn.co/mp3-preview/4d63fe1638aa41592706f835bd076443b09d8afa?cid=133ab60d36dd449d94af25689ddde7ed
5,Mariah Carey,All I Want for Christmas Is You,https://i.scdn.co/image/ab67616d0000b2734246e3158421f5abb75abc4f,1994-10-28,84,0.336,0.627,7,-7.463,1,0.0384,0.164,0.00E+00,0.0708,0.35,150.273,241107,241.107,4,https://p.scdn.co/mp3-preview/6b1557cd25d543940a3decd85a7bf2bc136c51f8?cid=133ab60d36dd449d94af25689ddde7ed
6,Kenshi Yonezu,KICK BACK,https://i.scdn.co/image/ab67616d0000b273303d8545fce8302841c39859,2022-10-12,81,0.577,0.941,1,-5.17,1,0.105,0.00207,3.36E-06,0.0891,0.292,101.921,193495,193.495,4,https://p.scdn.co/mp3-preview/003a7a062f469db238cf5206626f08f3263c68e6?cid=133ab60d36dd449d94af25689ddde7ed
7,Ado,新時代,https://i.scdn.co/image/ab67616d0000b273c37dcac99df04be050879c60,2022-08-09,73,0.49,0.987,7,-2.279,1,0.253,0.049,3.24E-06,0.406,0.451,175.064,226813,226.813,4,
8,Ado,唱,https://i.scdn.co/image/ab67616d0000b273985fe71d6d5d528429037716,2023-09-06,82,0.616,0.975,10,-0.425,0,0.208,0.172,1.62E-06,0.143,0.742,132.054,189773,189.773,4,
9,Yuuri,ドライフラワー,https://i.scdn.co/image/ab67616d0000b2732a89f91a19c16e94ba441132,2020-10-25,67,0.463,0.624,7,-5.118,1,0.0274,0.426,0.00E+00,0.221,0.521,147.929,285587,285.587,4,https://p.scdn.co/mp3-preview/f9885e1c484280495e25f2882f7ecb5492de0ce0?cid=133ab60d36dd449d94af25689ddde7ed
10,BTS,Permission to Dance,https://i.scdn.co/image/ab67616d0000b273a7e481899b7e0396f93d10b8,2021-07-23,77,0.702,0.741,9,-5.33,1,0.0427,0.00544,0.00E+00,0.337,0.646,124.925,187585,187.585,4,https://p.scdn.co/mp3-preview/d4eb140d131417cc1526bb791f0383eef18cf6da?cid=133ab60d36dd449d94af25689ddde7ed
